params,score
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.0, 'feed_forward_size': 128, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.0131068928167223
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.0, 'feed_forward_size': 256, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0010284158634021
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.0, 'feed_forward_size': 256, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.0010283160954713
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.0, 'feed_forward_size': 256, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0021868150215595
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.0, 'feed_forward_size': 256, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.012384315021336
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.2, 'feed_forward_size': 128, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0002504916046746
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.2, 'feed_forward_size': 128, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.0006853327504359
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.2, 'feed_forward_size': 128, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0004656993260141
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.2, 'feed_forward_size': 128, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.0131107876077294
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.2, 'feed_forward_size': 256, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0005253545823507
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.2, 'feed_forward_size': 256, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.0005803420208394
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.2, 'feed_forward_size': 256, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0018092842074111
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.2, 'feed_forward_size': 256, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.0124747836962342
"{'batch_size': 32, 'd_model': 128, 'dropout_rate': 0.0, 'feed_forward_size': 256, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0005785269313491
"{'batch_size': 32, 'd_model': 128, 'dropout_rate': 0.0, 'feed_forward_size': 256, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.0012535714777186
"{'batch_size': 32, 'd_model': 128, 'dropout_rate': 0.0, 'feed_forward_size': 256, 'learning_rate': 0.0001, 'n_heads': 8, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0006743424455635
"{'batch_size': 32, 'd_model': 128, 'dropout_rate': 0.0, 'feed_forward_size': 256, 'learning_rate': 0.0001, 'n_heads': 8, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.0014532150235027
"{'batch_size': 32, 'd_model': 128, 'dropout_rate': 0.0, 'feed_forward_size': 256, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0116203548386693
"{'batch_size': 32, 'd_model': 128, 'dropout_rate': 0.0, 'feed_forward_size': 256, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.0131108267232775
"{'batch_size': 32, 'd_model': 128, 'dropout_rate': 0.0, 'feed_forward_size': 256, 'learning_rate': 0.001, 'n_heads': 8, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0131082506850361
